param numNodes :=  50 ;
param numNodesOrig :=  35 ;

set SOURCE := alpha ;
set SINK := omega ;
param source := alpha ;
param sink := omega ;

set trafficker :=  1 7 15 25 31 ;
set bottoms :=  2 8 16 26 ;
set victims :=  3 4 5 6 9 10 11 12 13 14 17 18 19 20 21 22 23 24 27 28 29 30 32 33 34 35 41 42 43 44 45 46 47 48 49 50 ;
set newTrafficker :=  36 37 38 39 40 ;
set replaceTrafficker := 
1 43 100 2
15 43 100 2
25 43 100 2
31 43 100 2
1 44 100 2
15 44 100 2
1 45 100 2
15 45 100 2
1 46 100 2
7 46 100 2
1 47 100 2
15 47 100 2
15 48 100 2
7 49 100 2
1 50 100 2
7 50 100 2
25 50 100 2
2 3 100 1
2 4 100 1
9 12 100 2
9 13 100 2
9 14 100 2
13 9 100 2
13 10 100 2
12 9 100 2
12 10 100 2
12 11 100 2
18 20 100 2
18 21 100 2
18 22 100 2
18 23 100 2
20 17 100 2
20 18 100 2
20 19 100 2
19 20 100 2
19 22 100 2
19 23 100 2
19 24 100 2
17 20 100 2
17 21 100 2
17 22 100 2
17 23 100 2
17 24 100 2
27 29 100 2
27 30 100 2
29 27 100 2
29 28 100 2
;

param: ARCSnewIn: cIn:=
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
15 3 1
15 4 1
15 5 1
15 6 1
1 32 1
1 33 1
1 34 1
1 35 1
31 3 1
31 4 1
31 5 1
31 6 1
7 17 1
7 18 1
7 19 1
7 20 1
7 21 1
7 22 1
7 23 1
7 24 1
15 9 1
15 10 1
15 11 1
15 12 1
15 13 1
15 14 1
15 27 1
15 28 1
15 29 1
15 30 1
25 17 1
25 18 1
25 19 1
25 20 1
25 21 1
25 22 1
25 23 1
25 24 1
15 32 1
15 33 1
15 34 1
15 35 1
31 17 1
31 18 1
31 19 1
31 20 1
31 21 1
31 22 1
31 23 1
31 24 1
;

param: nodecapInc:=
3 1
9 2
13 2
12 2
18 2
20 2
19 2
17 2
27 2
29 2
;

param: r:=
1 8
2 4
3 2
4 2
5 2
6 2
7 8
8 4
9 2
10 2
11 2
12 2
13 2
14 2
15 8
16 4
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
25 8
26 4
27 2
28 2
29 2
30 2
31 8
32 2
33 2
34 2
35 2
;

param budgetA :=  20 ;
